"ORG SKU",SKU,Name,"Exhaust System Line",Homologation,Description,Category,Segment,Program,Brand,Model,"MY from","MY to",Price,Model_ID
DI-BM/CA/6,DI-BM/CA/6-33,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Designed to make the X4 M / X4 M Competition stand out from the crowd even more, the visual delight of Akrapovič exhaust systems can be further enhanced with the addition of an optional, ABE type-approved carbon fibre rear diffuser. It’s beautifully handcrafted from the finest materials and is designed to enhance the exclusive look of the carbon tailpipes. Available in high gloss finish.Warning: Cannot fit with genuine trailer tow hitch. With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem",Suv,Car,BMW,"X4 M / X4 M Competition (F98)",2020,2020,21885,"135356,135355,"
DI-BM/CA/6,DI-BM/CA/6-34,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Designed to make the X4 M / X4 M Competition stand out from the crowd even more, the visual delight of Akrapovič exhaust systems can be further enhanced with the addition of an optional, ABE type-approved carbon fibre rear diffuser. It’s beautifully handcrafted from the finest materials and is designed to enhance the exclusive look of the carbon tailpipes. Available in high gloss finish.Warning: Cannot fit with genuine trailer tow hitch. With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem",Suv,Car,BMW,"X4 M / X4 M Competition (F98) - OPF/GPF",2020,2020,21885,"135356,135355,"
DI-BM/CA/7/G,DI-BM/CA/7/G-35,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.&#65279;Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.&#65279;","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition (F91, F92)",2020,2021,20554,"136372,136371,136370,136369,"
DI-BM/CA/7/G,DI-BM/CA/7/G-36,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.&#65279;Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.&#65279;","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2020,2021,20554,"136372,136371,136370,136369,"
DI-BM/CA/7/G,DI-BM/CA/7/G-37,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.&#65279;Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.&#65279;","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition Gran Coupé (F93)",2020,2021,20554,"137799,137798,"
DI-BM/CA/7/G,DI-BM/CA/7/G-38,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.&#65279;Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.&#65279;","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition Gran Coupé (F93) - OPF/GPF",2020,2021,20554,"137799,137798,"
DI-BM/CA/7/M,DI-BM/CA/7/M-39,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition (F91, F92)",2020,2021,18927,"136372,136371,136370,136369,"
DI-BM/CA/7/M,DI-BM/CA/7/M-40,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2020,2021,18927,"136372,136371,136370,136369,"
DI-BM/CA/7/M,DI-BM/CA/7/M-41,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition Gran Coupé (F93)",2020,2021,18927,"137799,137798,"
DI-BM/CA/7/M,DI-BM/CA/7/M-42,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M8 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.Fitment notice: With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M8 / M8 Competition Gran Coupé (F93) - OPF/GPF",2020,2021,18927,"137799,137798,"
DI-BM/CA/8/G,DI-BM/CA/8/G-43,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the car a more aggressive and sporty feel. It shows off the tailpipes to their full extent and integrates the parking sensor mounts. The diffuser allows the use of BMW´s tow hook.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working. ","New Avgassystem",Suv,Car,BMW,"X5 M / X5 M Competition (F95)",2020,2020,16118,"137786,137787,"
DI-BM/CA/8/G,DI-BM/CA/8/G-44,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the car a more aggressive and sporty feel. It shows off the tailpipes to their full extent and integrates the parking sensor mounts. The diffuser allows the use of BMW´s tow hook.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working. ","New Avgassystem",Suv,Car,BMW,"X5 M / X5 M Competition (F95) - OPF/GPF",2020,2020,16118,"137786,137787,"
DI-BM/CA/8/G,DI-BM/CA/8/G-45,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the car a more aggressive and sporty feel. It shows off the tailpipes to their full extent and integrates the parking sensor mounts. The diffuser allows the use of BMW´s tow hook.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working. ","New Avgassystem",Suv,Car,BMW,"X6 M / X6 M Competition (F96)",2020,2020,16118,"137788,137789,"
DI-BM/CA/8/G,DI-BM/CA/8/G-46,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the car a more aggressive and sporty feel. It shows off the tailpipes to their full extent and integrates the parking sensor mounts. The diffuser allows the use of BMW´s tow hook.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working. ","New Avgassystem",Suv,Car,BMW,"X6 M / X6 M Competition (F96) - OPF/GPF",2020,2020,16118,"137788,137789,"
DI-BM/CA/8/M,DI-BM/CA/8/M-47,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval"," The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the car a more aggressive and sporty feel. It shows off the tailpipes to their full extent and integrates the parking sensor mounts. The diffuser allows the use of BMW´s tow hook.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working. ","New Avgassystem",Suv,Car,BMW,"X5 M / X5 M Competition (F95)",2020,2020,14639,"137786,137787,"
DI-BM/CA/8/M,DI-BM/CA/8/M-48,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval"," The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the car a more aggressive and sporty feel. It shows off the tailpipes to their full extent and integrates the parking sensor mounts. The diffuser allows the use of BMW´s tow hook.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working. ","New Avgassystem",Suv,Car,BMW,"X5 M / X5 M Competition (F95) - OPF/GPF",2020,2020,14639,"137786,137787,"
